created_at,user,followers_count,location,retweet_count,retweeted,userRT,full_text
2021-06-28 01:34:38,Retweet21454943,115.0,,14.0,0.0,clementevazce,RT El mejor jugador de Ecuador en los últimos 6 partidos. Señorial Jhegson Méndez. Plus para Piero Hincapie parece que tuviese 50 partidos con la selección. https://t.co/cyyQA60P1j
2021-06-28 00:55:51,Jeffsh_ec,28.0,,1.0,0.0,,"- Hernan Galindez: ""Perdón por este mensaje pero... Vamos chchaaa!!! Vamos Ecuador carajo!!!"" 🇪🇨 🤧 https://t.co/TozzogNpNV"
2021-06-23 22:54:50,caminomundialok,2502.0,,0.0,0.0,,#CopaAmerica 🇪🇨🆚🇵🇪🔁 [90'+1'] CAMBIO EN ECUADORFidel Martínez por Ayrton Preciado. https://t.co/V1iGwwIEl5
2021-06-28 02:11:36,MONTALVOGuille,646.0,Quito-Ecuador,5.0,0.0,diegolituma,RT Ecuador nos hace nuevamente sonreír gran empate frente a Brasil. Jhegson Méndez Alan Franco impecables en el medio campo Mena volvió hacer desequilibrante en líneas generales el equipo jugó muy bien. Un respiro para Alfaro Ecuador mejorará en lo anímico a soñar 🇪🇨💪
2021-06-28 00:39:06,joavbu19,207.0,guayaquil,174.0,0.0,DiegoArcos14,RT Recotizacion suprema en selección de Ecuador:Piero Hincapié y Jhegson Mendez al alza bestial en bolsa d valores de jugadores en ficticio Wall Street pelotero
2021-06-23 20:45:02,ecuabot,7464.0,Ecuador,2.0,0.0,futbolecuador,RT 🔻 ENTÉRATE🔻➡️ José #Cevallos se pronuncia sobre la anunciada titularidad de Hernán #Galíndez y el #Kitu para el #Ecuador 🇪🇨  vs #Perú 🇵🇪 (ENTREVISTA)  🗣️🎙️ https://t.co/rl3GxvMlQn ⬅️ https://t.co/GXLWAeJ1H6
2021-06-27 23:11:53,AlexGonzalez987,42.0,,174.0,0.0,DiegoArcos14,RT Recotizacion suprema en selección de Ecuador:Piero Hincapié y Jhegson Mendez al alza bestial en bolsa d valores de jugadores en ficticio Wall Street pelotero
2021-06-28 11:33:23,EddyMoyano,67.0,,172.0,0.0,pilumeneses,RT Lo veo a Hernán Galindez cantando el himno y es imposible creer que “sólo esté pensando en tomar mate”. -VAMOS ECUADOR 💪🇪🇨
2021-06-27 23:41:56,humbertodiaz688,284.0,Guayaquil - Ecuador,174.0,0.0,DiegoArcos14,RT Recotizacion suprema en selección de Ecuador:Piero Hincapié y Jhegson Mendez al alza bestial en bolsa d valores de jugadores en ficticio Wall Street pelotero
2021-06-27 23:36:19,Alejandro_Rom,597.0,Buenos Aires  - Argentina,40.0,0.0,morenabeltran10,RT Gran ST de Jhegson Méndez. Su intuición de tiempo para estar bien ubicado y robar y más incrustado entre los centrales con pelota permitiéndole a Preciado pasar mucho más. Esa banda derecha con Alan Franco le dio salida limpia a Ecuador bajo presión.
